epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,2.061596,0.232236,1.886178,0.314951,0.0007,114.8312
2,1.783937,0.336064,1.863583,0.328431,0.0007,115.3933
3,1.650613,0.375618,1.684399,0.387255,0.0007,115.4354
4,1.553029,0.410369,1.567875,0.439951,0.0007,115.7839
5,1.466116,0.448651,1.523531,0.447304,0.0007,113.9656
6,1.40705,0.478034,1.463167,0.458333,0.0007,116.36
7,1.363463,0.504732,1.402543,0.48652,0.0007,114.1981
8,1.283942,0.534963,1.360426,0.504902,0.0007,114.9084
9,1.251758,0.546264,1.410148,0.507353,0.0007,114.6375
10,1.18848,0.571691,1.181164,0.629902,0.0007,115.9524
11,1.160467,0.576353,1.237899,0.567402,0.0007,116.6276
12,1.12208,0.596553,1.164146,0.627451,0.0007,116.6492
13,1.074493,0.618166,1.26177,0.582108,0.0007,115.5906
14,1.049926,0.624382,1.259066,0.591912,0.0007,115.9761
15,1.01422,0.635542,1.189144,0.625,0.00035,115.5907
16,0.936342,0.674389,1.189138,0.636029,0.00035,115.6889
17,0.930524,0.673541,1.10492,0.647059,0.00035,117.3666
18,0.919066,0.680322,1.152497,0.627451,0.00035,114.5847
19,0.908645,0.681311,1.072498,0.639706,0.00035,114.1755
20,0.877435,0.698828,1.190074,0.616422,0.00035,114.5321
21,0.880984,0.696567,1.124509,0.642157,0.00035,116.186
22,0.870513,0.697415,1.107129,0.645833,0.000175,117.7419
23,0.814137,0.718181,1.050141,0.660539,0.000175,113.2382
24,0.812058,0.712671,1.092884,0.656863,0.000175,115.6481
25,0.805442,0.722277,1.110901,0.653186,0.000175,114.3591
